category,verses
صداقة,['ليس الصديق الذي تعلو مناسبه بل الصديق الذي تزكو شمائله إن رابك الدهر لم تفشل عزائمه أو نابك الهم لم تفتر وسائله']
صداقة,['صديق ليس ينفع يوم بؤس قريب من عدو في القياس وما يبقى الصديق بكل عصر ولا الإخوان إلا للتآسي']
صداقة,['كم صديق عرفته بصديق صار أحظى من الصديق العتيق ورفيق رافقته في طريق صار بعد الطريق خير رفيق']
صداقة,['لي صديق على الزمان صديقي ورفيق مع الخطوب رفيقي لو تراني إذا استهلت دموعي في صبوح ذكرته أو غبوق']
صداقة,['سلام على الدنيا إذا لم يكن بها صديق صدوق صادق الوعد منصفا']
صداقة,['يجني الخليل فأستحلي جنايته حتى أدل على عفوي وإحساني ويتبع الذنب ذنبا حين يعرفني عمدا وأتبع غفرانا بغفران']
صداقة,['نصحتك لا تصحب سوى كل فاضل خليق السجايا بالتعفف والظرف ولا تعتمد غير الكرام فواحد من الناس إن حصلت خير من الألف']
صداقة,['ليس يرضى الصديق منك ببشر تحت مخبوره دفين جفاء']
صداقة,['أخلاء الرخاء هم كثير ولكن في البلاء هم قليل فلا يغررك خلة من تؤاخي فما لك عند نائبة خليل']
صداقة,['عدوك من صديقك مستفاد فلا تستكثرن من الصحاب فإن الداء أكثر ما تراه يحول من الطعام أو الشراب']
صداقة,['ومن لا يغمض عينه عن صديقه وعن بعض ما فيه يمت وهو عاتب ومن يتتبع جاهدا كل عثرة يجدها ولا يسلم له الهر صاحب']
حكمة,['الماء الزلال قد يحمل غثاءً إذا جرى']
حكمة,['الدنيا وصل وصد وقرب وبعد وحلو ومر']
حكمة,['تخادعك الدنيا باغترارها فلا تكن غافلاً عن اعتبارها']
حكمة,['إذا تغالطت الحياة أوضاعها ذلّت الضوابط والحدود']
حكمة,['الحياة وإن طالت فمصيرها إلى زوال']
حكمة,['إذا سل الدهر سيوفه فاجعل الصبر دروعاً']
حكمة,['تعلم ففي العلم فوائد عظيمة ورضوان وجنة']
حكمة,['لا تمت العلم بترك بذله ولا تعلمه لغير أهله']
حكمة,['لا تطلب ود الصديق بمدح كاذب خسيس القيم']
حكمة,['أميل مع الحقيقة حيث مالت وأدحض بالدليل الباطل']
حكمة,['النفس تبقى وقيمتها فيما تنتج من عمل']
حكمة,['ليس كل أثر يبقى ولا كل ترب ينبت الذهب']
حكمة,['يا فؤادي الأقدار لا تغلب إلا بالرضا']
حكمة,['ستريك الدنيا عجائب فلا تخف ولا تطمع']
حكمة,['بالحزم والعزم والأفكار تنال ما لم ينل بالسيف']
حكمة,['النفس تقتل بهواها إذا بلغت مناها']
حكمة,['من يستعذب الأيام يذق مرّ العذاب']
حكمة,['كل الخلق هالك إلا الله الواحد']
حكمة,['لذات الدنيا طوالق لا تبقى']
حكمة,['العمر كالطيف يمضي ويبقى الأثر']
