category,verses
حب,['وإذا الحبيبُ أتى بذنبٍ واحدٍ جاء ت محاسنه بألفِ شفيع']
حب,['يا حَبَّ ما حُبُّ القَتولِ وَحُبُّها فَلَسٌ فَلا يُنصِبكَ حُبٌّ مُفلِسٌ']
حب,['لعمري هذا في الهوى شر بدعة ومبتدعوها فيه قوم خبائث']
حب,['فَقالوا شفاء الحبّ حبٌّ يُزيلهُ مِن آخر أو نأيٌ طويلٌ على هجرِ']
حب,['هَل كانَ سِرُّ الحُبِّ إِلّا مُضمَر اًفَغَدَت صِفاتُك في الوَرى تُفشِيهِ']
حب,['والأصل في الحب ابتداءً نظرةٌفَنَمت وعادت عِلّةً']
حب,['مرّة بالنوم طيفك زارني شرك الجمال لقيته فاصطادني']
حب,['جَرى قلم السَعادة باسم لَيلى فَطابَ بذكرها عيشي الرَغيد']
حب,['وَزادَني كَلَفاً في الحُبِّ أَن مُنِعَت أَحَبُّ شَيءٍ إِلى الإِنسانِ ما مُنِعا']
حب,['عَلِقتُ الهَوى مِنها وَليداً فَلَم يَزَل إِلى اليَومِ يَنمي حُبُّها وَيَزيدُ']
حب,['وَإِن قُلتُ رُدّي بَعضَ عَقلي أَعِش بِهِ تَوَلَّت وَقالَت ذاكَ مِنكَ بَعيدُ']
حب,['فَلا خَيرَ في الدُنيا إِذا أَنتَ لَم تَزُر حَبيباً وَلَم يَطرَب إِلَيكَ حَبيبُ']
حب,['وَما كانَ لِلأَحزانِ لَولاكِ مَسلَكٌ إِلى القَلبِ']
حب,['إِذا اللَيلُ أَضواني بَسَطتُ يَدَ الهَوى وَأَذلَلتُ دَمعاً مِن خَلائِقِهِ الكِبرُ']
حب,['وَحارَبتُ قَومي في هَواكِ وَإِنَّهُم وَإِيّايَ لَولا حُبَّكِ الماءُ وَالخَمرُ']
حب,['وَلَيسَ خَليلي بِالمَلولِ وَلا الَّذي إِذا غبتُ عَنهُ باعَني']
حب,['يا رَبُّ لا تَسلُبَنّي حُبَّها أَبَداً وَيَرحَمُ اللَهُ عَبداً قالَ آمينا']
حب,['تَحَمَّل عَظيمَ الذَنبِ مِمَّن تَحِبُّهُ وَإِن كُنتَ مَظلوماً فَقُل أَنا ظالِمُ']
حب,"['وإذا هَمَمْتُ بوَصْلِ غَيرِكِ رَدّني وَلَهٌ إلَيكِ']"
حب,['يا نائِماً أَيقَظَني حُبُّهُ هَب لي رُقاداً أَيُّها النائِمُ']
